time,10m,20m,30m,40m,50m,60m,70m,80m,90m,100m,110m,120m,130m,140m,150m,160m,170m,180m
10,3.073,4.048,5.201,5.982,6.9685,7.955,8.243,8.531,8.8445,9.158,9.3675,9.577,9.817,10.057,10.2885,10.52,10.6555,10.791
20,3.103,4.512,5.538,6.258,7.3275,8.397,8.65,8.903,9.0875,9.272,9.4985,9.725,9.8885,10.052,10.3195,10.587,10.959,11.331
30,3.142,4.371,5.351,6.252,7.3705,8.489,8.671,8.853,8.98,9.107,9.4425,9.778,10.0675,10.357,10.7615,11.166,11.567,11.968
40,3.142,4.309,5.6,6.404,7.4955,8.587,8.788,8.989,9.0455,9.102,9.194,9.286,9.7825,10.279,10.668,11.057,11.289,11.521
50,3.458,4.84,6.16,7.043,8.097,9.151,9.881,10.611,11.1245,11.638,12.0365,12.435,12.5035,12.572,12.6245,12.677,12.7655,12.854
60,3.232,4.734,5.969,6.845,8.048,9.251,9.912,10.573,11.1095,11.646,11.8975,12.149,12.26,12.371,12.488,12.605,12.7165,12.828
70,3.232,4.731,6.097,7.142,8.324,9.506,10.337,11.168,11.8155,12.463,12.6425,12.822,12.9015,12.981,13.0355,13.09,13.1805,13.271
80,4.259,5.181,6.059,6.952,7.5515,8.151,8.8195,9.488,10.174,10.86,11.2805,11.701,11.818,11.935,12.0165,12.098,12.1785,12.259
90,3.842,4.98,5.748,6.16,6.7935,7.427,8.081,8.735,9.4055,10.076,10.68,11.284,11.4185,11.553,11.644,11.735,11.7895,11.844
100,3.708,5.24,6.064,6.766,7.222,7.678,8.06,8.442,8.7735,9.105,9.476,9.847,10.3415,10.836,11.185,11.534,11.675,11.816
110,3.708,4.768,5.601,6.143,6.647,7.151,7.4655,7.78,8.1465,8.513,8.7525,8.992,9.382,9.772,10.1615,10.551,10.926,11.301
120,3.708,5.217,6.241,6.739,7.1665,7.594,7.9505,8.307,8.6525,8.998,9.2745,9.551,9.816,10.081,10.429,10.777,11.0005,11.224
130,3.708,5.703,6.624,7.021,7.3565,7.692,7.978,8.264,8.398,8.532,8.7175,8.903,9.059,9.215,9.343,9.471,9.7515,10.032
140,3.708,4.948,5.909,6.233,6.466,6.699,6.969,7.239,7.509,7.779,8.078,8.377,8.6095,8.842,9.0945,9.347,9.635,9.923
150,3.708,5.049,5.815,6.31,6.497,6.684,6.7875,6.891,6.9765,7.062,7.1855,7.309,7.4245,7.54,7.701,7.862,8.1555,8.449
160,3.708,4.15,4.993,5.501,5.915,6.329,6.45,6.571,6.765,6.959,7.02,7.081,7.179,7.277,7.4245,7.572,7.7495,7.927
170,3.708,4.275,4.751,5.089,5.304,5.519,5.7165,5.914,6.157,6.4,6.588,6.776,6.964,7.152,7.3085,7.465,7.6275,7.79
180,5.053,6.095,6.604,6.802,7.229,7.656,7.9645,8.273,8.4035,8.534,8.699,8.864,9.0145,9.165,9.406,9.647,9.7615,9.876
190,5.767,7.2,8.007,8.344,8.758,9.172,9.551,9.93,10.0705,10.211,10.45,10.689,10.923,11.157,11.2285,11.3,11.37,11.44
200,4.478,5.688,6.343,6.698,7.177,7.656,7.9145,8.173,8.354,8.535,8.6525,8.77,8.841,8.912,9.0025,9.093,9.2345,9.376
210,3.895,5.006,5.927,6.484,7.1485,7.813,8.152,8.491,8.709,8.927,9.12,9.313,9.4125,9.512,9.6215,9.731,9.8075,9.884
220,4.266,5.51,6.392,6.58,6.958,7.336,7.678,8.02,8.141,8.262,8.492,8.722,8.8115,8.901,8.995,9.089,9.2025,9.316
230,4.266,4.744,5.573,6.027,6.745,7.463,7.7365,8.01,8.262,8.514,8.6365,8.759,8.913,9.067,9.1605,9.254,9.4435,9.633
240,3.714,4.784,5.527,6.197,6.5925,6.988,7.357,7.726,7.984,8.242,8.519,8.796,8.98,9.164,9.341,9.518,9.6785,9.839
250,3.775,4.625,5.451,5.851,6.2795,6.708,7.047,7.386,7.6265,7.867,8.041,8.215,8.4395,8.664,8.925,9.186,9.3935,9.601
260,3.5,4.284,4.932,5.577,6.125,6.673,7.067,7.461,7.7935,8.126,8.2825,8.439,8.528,8.617,8.8245,9.032,9.2365,9.441
270,3.343,4.29,4.891,5.487,5.7585,6.03,6.3415,6.653,6.9115,7.17,7.3955,7.621,7.872,8.123,8.414,8.705,8.933,9.161
280,2.992,3.81,4.69,5.067,5.556,6.045,6.37,6.695,7.0525,7.41,7.647,7.884,8.0885,8.293,8.4645,8.636,8.856,9.076
290,3.195,4.006,4.831,5.358,6.028,6.698,7.107,7.516,7.807,8.098,8.3365,8.575,8.791,9.007,9.25,9.493,9.6895,9.886
300,3.411,4.36,5.052,5.54,6.174,6.808,7.274,7.74,8.1905,8.641,8.9835,9.326,9.5385,9.751,9.9255,10.1,10.285,10.47
310,3.445,4.294,5.123,5.938,6.5035,7.069,7.5395,8.01,8.4125,8.815,9.1645,9.514,9.796,10.078,10.306,10.534,10.7075,10.881
320,3.257,4.432,5.155,5.967,6.4485,6.93,7.4925,8.055,8.445,8.835,9.1565,9.478,9.75,10.022,10.2465,10.471,10.71,10.949
330,3.258,4.066,4.849,5.612,6.3185,7.025,7.489,7.953,8.3325,8.712,9.026,9.34,9.659,9.978,10.2235,10.469,10.6695,10.87
340,3.307,4.111,4.934,5.687,6.208,6.729,7.2305,7.732,8.1605,8.589,8.978,9.367,9.682,9.997,10.3405,10.684,10.9545,11.225
350,2.869,3.649,4.349,4.829,5.563,6.297,6.936,7.575,8.0265,8.478,8.8535,9.229,9.595,9.961,10.2715,10.582,10.9,11.218
360,2.832,3.737,4.524,4.771,5.345,5.919,6.386,6.853,7.2995,7.746,8.092,8.438,8.838,9.238,9.586,9.934,10.2415,10.549
370,2.824,3.669,4.388,5.115,5.672,6.229,6.706,7.183,7.582,7.981,8.321,8.661,8.9275,9.194,9.48,9.766,10.063,10.36
380,3.557,4.478,5.366,5.675,6.2265,6.778,7.2225,7.667,8.1585,8.65,8.992,9.334,9.6505,9.967,10.351,10.735,11.1015,11.468
390,2.951,3.598,4.313,5.261,5.902,6.543,7.1295,7.716,8.142,8.568,8.8975,9.227,9.5725,9.918,10.236,10.554,10.887,11.22
400,2.548,3.551,4.391,4.894,5.6315,6.369,6.94,7.511,7.963,8.415,8.7775,9.14,9.498,9.856,10.1215,10.387,10.591,10.795
410,1.877,3.159,4.01,4.725,5.276,5.827,6.3175,6.808,7.334,7.86,8.2455,8.631,9.0145,9.398,9.75,10.102,10.387,10.672
420,1.873,3.477,4.551,4.972,5.615,6.258,6.832,7.406,7.977,8.548,8.989,9.43,9.826,10.222,10.604,10.986,11.199,11.412
430,2.351,3.706,4.752,5.191,6.084,6.977,7.5855,8.194,8.7345,9.275,9.6,9.925,10.301,10.677,11.005,11.333,11.573,11.813
440,2.33,3.916,4.927,5.62,6.286,6.952,7.642,8.332,9.0075,9.683,10.189,10.695,11.1245,11.554,11.8825,12.211,12.4255,12.64
450,2.661,4.056,5.058,5.9,6.664,7.428,8.205,8.982,9.661,10.34,10.866,11.392,11.821,12.25,12.517,12.784,13.0545,13.325
460,2.717,4.196,5.428,5.826,6.654,7.482,8.168,8.854,9.425,9.996,10.59,11.184,11.637,12.09,12.36,12.63,12.919,13.208
470,2.898,4.466,5.322,6.18,6.694,7.208,7.979,8.75,9.392,10.034,10.479,10.924,11.347,11.77,12.0575,12.345,12.933,13.521
480,2.51,3.991,5.182,5.735,6.424,7.113,7.756,8.399,9.0725,9.746,10.2995,10.853,11.277,11.701,12.144,12.587,13.354,14.121
490,2.354,3.847,5.039,5.679,6.394,7.109,7.8265,8.544,9.298,10.052,10.685,11.318,11.819,12.32,12.7705,13.221,13.647,14.073
500,2.578,4.026,5.41,6.525,7.262,7.999,8.8215,9.644,10.4065,11.169,11.7065,12.244,12.7185,13.193,13.573,13.953,14.265,14.577
510,2.553,4.372,5.603,6.797,7.5955,8.394,9.202,10.01,10.7695,11.529,12.1435,12.758,13.2305,13.703,14.0265,14.35,14.5665,14.783
520,2.597,4.49,5.617,6.695,7.409,8.123,9.0895,10.056,10.84,11.624,12.2095,12.795,13.237,13.679,14.09,14.501,14.7675,15.034
530,2.835,4.881,5.975,6.498,7.1665,7.835,8.667,9.499,10.2515,11.004,11.6975,12.391,12.9825,13.574,14.059,14.544,14.894,15.244
540,2.548,4.087,5.304,6.431,7.26,8.089,9.0695,10.05,10.9335,11.817,12.485,13.153,13.6365,14.12,14.548,14.976,15.326,15.676
550,2.557,4.499,5.617,6.673,7.6085,8.544,9.5225,10.501,11.3065,12.112,12.7495,13.387,13.836,14.285,14.687,15.089,15.45,15.811
560,2.901,4.625,6.268,7.398,8.2005,9.003,9.9905,10.978,11.763,12.548,13.1205,13.693,14.1355,14.578,14.952,15.326,15.673,16.02
570,2.901,5.365,6.672,7.574,8.283,8.992,9.804,10.616,11.4585,12.301,13.019,13.737,14.208,14.679,14.998,15.317,15.6505,15.984
580,2.901,6.048,6.886,7.492,8.2615,9.031,9.7805,10.53,11.2055,11.881,12.4705,13.06,13.527,13.994,14.499,15.004,15.42,15.836
